"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
1	"BFE"	"CZ"	0.570792895348837	"Black"	"female"	"eyes"
1	"BFF"	"CZ"	2.3216773255814	"Black"	"female"	"fore"
1	"BME"	"CZ"	-0.703074213953488	"Black"	"male"	"eyes"
1	"BMF"	"CZ"	-0.26621758372093	"Black"	"male"	"fore"
1	"WFE"	"CZ"	0.017837745255814	"White"	"female"	"eyes"
1	"WFF"	"CZ"	0.723331579069767	"White"	"female"	"fore"
1	"WME"	"CZ"	-1.87690762325581	"White"	"male"	"eyes"
1	"WMF"	"CZ"	1.50214639302326	"White"	"male"	"fore"
2	"BFE"	"CZ"	3.32223609302326	"Black"	"female"	"eyes"
2	"BFF"	"CZ"	4.34424751162791	"Black"	"female"	"fore"
2	"BME"	"CZ"	1.93744203255814	"Black"	"male"	"eyes"
2	"BMF"	"CZ"	2.8962966744186	"Black"	"male"	"fore"
2	"WFE"	"CZ"	3.2581191627907	"White"	"female"	"eyes"
2	"WFF"	"CZ"	5.50439813953488	"White"	"female"	"fore"
2	"WME"	"CZ"	4.82718786046512	"White"	"male"	"eyes"
2	"WMF"	"CZ"	4.11047137209302	"White"	"male"	"fore"
3	"BFE"	"CZ"	-0.651902769767442	"Black"	"female"	"eyes"
3	"BFF"	"CZ"	1.01055536976744	"Black"	"female"	"fore"
3	"BME"	"CZ"	1.63942721860465	"Black"	"male"	"eyes"
3	"BMF"	"CZ"	0.334975951162791	"Black"	"male"	"fore"
3	"WFE"	"CZ"	0.143840500930233	"White"	"female"	"eyes"
3	"WFF"	"CZ"	-0.0284130706976744	"White"	"female"	"fore"
3	"WME"	"CZ"	1.50854072325581	"White"	"male"	"eyes"
3	"WMF"	"CZ"	0.964689309302326	"White"	"male"	"fore"
5	"BFE"	"CZ"	5.02878246511628	"Black"	"female"	"eyes"
5	"BFF"	"CZ"	5.1282238372093	"Black"	"female"	"fore"
5	"BME"	"CZ"	5.64542258139535	"Black"	"male"	"eyes"
5	"BMF"	"CZ"	4.96580390697674	"Black"	"male"	"fore"
5	"WFE"	"CZ"	4.03076844186046	"White"	"female"	"eyes"
5	"WFF"	"CZ"	2.81786769767442	"White"	"female"	"fore"
5	"WME"	"CZ"	4.68528741860465	"White"	"male"	"eyes"
5	"WMF"	"CZ"	4.27441297674419	"White"	"male"	"fore"
7	"BFE"	"CZ"	-0.477844734883721	"Black"	"female"	"eyes"
7	"BFF"	"CZ"	-2.04095946511628	"Black"	"female"	"fore"
7	"BME"	"CZ"	-3.3791	"Black"	"male"	"eyes"
7	"BMF"	"CZ"	-0.3716345	"Black"	"male"	"fore"
7	"WFE"	"CZ"	0.256269609302326	"White"	"female"	"eyes"
7	"WFF"	"CZ"	0.134534759767442	"White"	"female"	"fore"
7	"WME"	"CZ"	-0.0779301148837209	"White"	"male"	"eyes"
7	"WMF"	"CZ"	-1.34365363255814	"White"	"male"	"fore"
8	"BFE"	"CZ"	2.7283133255814	"Black"	"female"	"eyes"
8	"BFF"	"CZ"	1.23487434651163	"Black"	"female"	"fore"
8	"BME"	"CZ"	0.606417365116279	"Black"	"male"	"eyes"
8	"BMF"	"CZ"	0.404404144186047	"Black"	"male"	"fore"
8	"WFE"	"CZ"	2.32297125581395	"White"	"female"	"eyes"
8	"WFF"	"CZ"	0.784619997674419	"White"	"female"	"fore"
