"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
1	"BFE"	"POZ"	-2.10415193548387	"Black"	"female"	"eyes"
1	"BFF"	"POZ"	0.631827419354839	"Black"	"female"	"fore"
1	"BME"	"POZ"	-0.840120967741935	"Black"	"male"	"eyes"
1	"BMF"	"POZ"	-0.828466129032258	"Black"	"male"	"fore"
1	"WFE"	"POZ"	-2.55311838709677	"White"	"female"	"eyes"
1	"WFF"	"POZ"	-1.6158	"White"	"female"	"fore"
1	"WME"	"POZ"	-2.99056548387097	"White"	"male"	"eyes"
1	"WMF"	"POZ"	-1.40374935483871	"White"	"male"	"fore"
2	"BFE"	"POZ"	-1.68143096774194	"Black"	"female"	"eyes"
2	"BFF"	"POZ"	-0.694973870967742	"Black"	"female"	"fore"
2	"BME"	"POZ"	-5.12425483870968	"Black"	"male"	"eyes"
2	"BMF"	"POZ"	-2.11074322580645	"Black"	"male"	"fore"
2	"WFE"	"POZ"	-3.38725548387097	"White"	"female"	"eyes"
2	"WFF"	"POZ"	0.0963311612903226	"White"	"female"	"fore"
2	"WME"	"POZ"	-2.27827612903226	"White"	"male"	"eyes"
2	"WMF"	"POZ"	0.235988193548387	"White"	"male"	"fore"
3	"BFE"	"POZ"	-3.40864741935484	"Black"	"female"	"eyes"
3	"BFF"	"POZ"	-1.13978	"Black"	"female"	"fore"
3	"BME"	"POZ"	-1.5423735483871	"Black"	"male"	"eyes"
3	"BMF"	"POZ"	-2.36525096774194	"Black"	"male"	"fore"
3	"WFE"	"POZ"	-0.407386516129032	"White"	"female"	"eyes"
3	"WFF"	"POZ"	-0.375613580645161	"White"	"female"	"fore"
3	"WME"	"POZ"	-0.0168020419354839	"White"	"male"	"eyes"
3	"WMF"	"POZ"	-0.401509193548387	"White"	"male"	"fore"
5	"BFE"	"POZ"	0.732910967741935	"Black"	"female"	"eyes"
5	"BFF"	"POZ"	3.2029	"Black"	"female"	"fore"
5	"BME"	"POZ"	1.51090838709677	"Black"	"male"	"eyes"
5	"BMF"	"POZ"	1.65218580645161	"Black"	"male"	"fore"
5	"WFE"	"POZ"	3.65954870967742	"White"	"female"	"eyes"
5	"WFF"	"POZ"	1.56649161290323	"White"	"female"	"fore"
5	"WME"	"POZ"	0.602473548387097	"White"	"male"	"eyes"
5	"WMF"	"POZ"	2.1897835483871	"White"	"male"	"fore"
7	"BFE"	"POZ"	-0.451633225806452	"Black"	"female"	"eyes"
7	"BFF"	"POZ"	2.13756741935484	"Black"	"female"	"fore"
7	"BME"	"POZ"	-2.26991483870968	"Black"	"male"	"eyes"
7	"BMF"	"POZ"	3.14636161290323	"Black"	"male"	"fore"
7	"WFE"	"POZ"	-0.0929858387096774	"White"	"female"	"eyes"
7	"WFF"	"POZ"	1.64924741935484	"White"	"female"	"fore"
7	"WME"	"POZ"	-1.62228838709677	"White"	"male"	"eyes"
7	"WMF"	"POZ"	0.506764516129032	"White"	"male"	"fore"
8	"BFE"	"POZ"	-1.42316580645161	"Black"	"female"	"eyes"
8	"BFF"	"POZ"	-1.91865064516129	"Black"	"female"	"fore"
8	"BME"	"POZ"	-4.15247548387097	"Black"	"male"	"eyes"
8	"BMF"	"POZ"	-2.44463225806452	"Black"	"male"	"fore"
8	"WFE"	"POZ"	-0.100668322580645	"White"	"female"	"eyes"
8	"WFF"	"POZ"	-2.27421064516129	"White"	"female"	"fore"
8	"WME"	"POZ"	-3.59965709677419	"White"	"male"	"eyes"
8	"WMF"	"POZ"	-1.92222129032258	"White"	"male"	"fore"
9	"BFE"	"POZ"	-1.20537193548387	"Black"	"female"	"eyes"
9	"BFF"	"POZ"	-2.66387935483871	"Black"	"female"	"fore"
9	"BME"	"POZ"	-3.42131677419355	"Black"	"male"	"eyes"
9	"BMF"	"POZ"	-4.31022225806452	"Black"	"male"	"fore"
9	"WFE"	"POZ"	-2.24798709677419	"White"	"female"	"eyes"
9	"WFF"	"POZ"	-1.00038548387097	"White"	"female"	"fore"
9	"WME"	"POZ"	-3.51053935483871	"White"	"male"	"eyes"
9	"WMF"	"POZ"	-0.852937741935484	"White"	"male"	"fore"
10	"BFE"	"POZ"	1.53589709677419	"Black"	"female"	"eyes"
10	"BFF"	"POZ"	3.15635290322581	"Black"	"female"	"fore"
10	"BME"	"POZ"	-0.277019709677419	"Black"	"male"	"eyes"
10	"BMF"	"POZ"	2.43516741935484	"Black"	"male"	"fore"
10	"WFE"	"POZ"	1.38282387096774	"White"	"female"	"eyes"
10	"WFF"	"POZ"	1.79247580645161	"White"	"female"	"fore"
10	"WME"	"POZ"	1.46211096774194	"White"	"male"	"eyes"
10	"WMF"	"POZ"	1.59715967741935	"White"	"male"	"fore"
11	"BFE"	"POZ"	-0.362038032258065	"Black"	"female"	"eyes"
11	"BFF"	"POZ"	0.780772258064516	"Black"	"female"	"fore"
11	"BME"	"POZ"	-1.04237064516129	"Black"	"male"	"eyes"
11	"BMF"	"POZ"	2.19692096774194	"Black"	"male"	"fore"
11	"WFE"	"POZ"	1.34147935483871	"White"	"female"	"eyes"
11	"WFF"	"POZ"	1.26283677419355	"White"	"female"	"fore"
11	"WME"	"POZ"	-1.16223161290323	"White"	"male"	"eyes"
11	"WMF"	"POZ"	-0.542620322580645	"White"	"male"	"fore"
12	"BFE"	"POZ"	2.88762193548387	"Black"	"female"	"eyes"
12	"BFF"	"POZ"	8.29837741935484	"Black"	"female"	"fore"
12	"BME"	"POZ"	3.28758258064516	"Black"	"male"	"eyes"
12	"BMF"	"POZ"	7.63173548387097	"Black"	"male"	"fore"
12	"WFE"	"POZ"	2.58948451612903	"White"	"female"	"eyes"
12	"WFF"	"POZ"	7.07650322580645	"White"	"female"	"fore"
12	"WME"	"POZ"	2.74693483870968	"White"	"male"	"eyes"
12	"WMF"	"POZ"	4.6015935483871	"White"	"male"	"fore"
13	"BFE"	"POZ"	-1.74014290322581	"Black"	"female"	"eyes"
13	"BFF"	"POZ"	-1.97466064516129	"Black"	"female"	"fore"
13	"BME"	"POZ"	-3.73938580645161	"Black"	"male"	"eyes"
13	"BMF"	"POZ"	-1.89862419354839	"Black"	"male"	"fore"
13	"WFE"	"POZ"	-4.64254193548387	"White"	"female"	"eyes"
13	"WFF"	"POZ"	-2.35020612903226	"White"	"female"	"fore"
13	"WME"	"POZ"	-4.04166129032258	"White"	"male"	"eyes"
13	"WMF"	"POZ"	-1.1049435483871	"White"	"male"	"fore"
14	"BFE"	"POZ"	-3.67351258064516	"Black"	"female"	"eyes"
14	"BFF"	"POZ"	-3.97988903225806	"Black"	"female"	"fore"
14	"BME"	"POZ"	-3.45532903225806	"Black"	"male"	"eyes"
14	"BMF"	"POZ"	-4.37001903225806	"Black"	"male"	"fore"
14	"WFE"	"POZ"	-3.19002161290323	"White"	"female"	"eyes"
14	"WFF"	"POZ"	-2.13601096774194	"White"	"female"	"fore"
14	"WME"	"POZ"	-2.77433161290323	"White"	"male"	"eyes"
14	"WMF"	"POZ"	-3.81956225806452	"White"	"male"	"fore"
16	"BFE"	"POZ"	-5.28085483870968	"Black"	"female"	"eyes"
16	"BFF"	"POZ"	-0.543105806451613	"Black"	"female"	"fore"
16	"BME"	"POZ"	-4.90499032258065	"Black"	"male"	"eyes"
16	"BMF"	"POZ"	-0.666494193548387	"Black"	"male"	"fore"
16	"WFE"	"POZ"	-3.33593580645161	"White"	"female"	"eyes"
16	"WFF"	"POZ"	-0.775492258064516	"White"	"female"	"fore"
16	"WME"	"POZ"	-3.33228096774194	"White"	"male"	"eyes"
16	"WMF"	"POZ"	-1.91154322580645	"White"	"male"	"fore"
17	"BFE"	"POZ"	2.00359548387097	"Black"	"female"	"eyes"
17	"BFF"	"POZ"	3.80986290322581	"Black"	"female"	"fore"
17	"BME"	"POZ"	-0.541895806451613	"Black"	"male"	"eyes"
17	"BMF"	"POZ"	2.50021419354839	"Black"	"male"	"fore"
17	"WFE"	"POZ"	0.974978387096774	"White"	"female"	"eyes"
17	"WFF"	"POZ"	2.06674612903226	"White"	"female"	"fore"
17	"WME"	"POZ"	7.04753225806452	"White"	"male"	"eyes"
17	"WMF"	"POZ"	2.02757967741936	"White"	"male"	"fore"
20	"BFE"	"POZ"	1.58759967741935	"Black"	"female"	"eyes"
20	"BFF"	"POZ"	0.980074838709677	"Black"	"female"	"fore"
20	"BME"	"POZ"	1.12151967741935	"Black"	"male"	"eyes"
20	"BMF"	"POZ"	2.07301193548387	"Black"	"male"	"fore"
20	"WFE"	"POZ"	1.00375612903226	"White"	"female"	"eyes"
20	"WFF"	"POZ"	-0.178958741935484	"White"	"female"	"fore"
20	"WME"	"POZ"	-0.0329929451612903	"White"	"male"	"eyes"
20	"WMF"	"POZ"	1.60266161290323	"White"	"male"	"fore"
21	"BFE"	"POZ"	0.488372903225806	"Black"	"female"	"eyes"
21	"BFF"	"POZ"	-0.457867741935484	"Black"	"female"	"fore"
21	"BME"	"POZ"	1.35178322580645	"Black"	"male"	"eyes"
21	"BMF"	"POZ"	-1.21740225806452	"Black"	"male"	"fore"
21	"WFE"	"POZ"	-0.0203870193548387	"White"	"female"	"eyes"
21	"WFF"	"POZ"	0.578461612903226	"White"	"female"	"fore"
21	"WME"	"POZ"	-1.21265774193548	"White"	"male"	"eyes"
21	"WMF"	"POZ"	2.48154967741935	"White"	"male"	"fore"
22	"BFE"	"POZ"	-0.181963387096774	"Black"	"female"	"eyes"
