"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
1	"BFE"	"CPZ"	3.48051418604651	"Black"	"female"	"eyes"
1	"BFF"	"CPZ"	-0.322019372093023	"Black"	"female"	"fore"
1	"BME"	"CPZ"	-0.617769511627907	"Black"	"male"	"eyes"
1	"BMF"	"CPZ"	2.08233976744186	"Black"	"male"	"fore"
1	"WFE"	"CPZ"	0.0938304418604651	"White"	"female"	"eyes"
1	"WFF"	"CPZ"	0.797184093023256	"White"	"female"	"fore"
1	"WME"	"CPZ"	-0.33881423255814	"White"	"male"	"eyes"
1	"WMF"	"CPZ"	-0.847946348837209	"White"	"male"	"fore"
2	"BFE"	"CPZ"	3.11490813953488	"Black"	"female"	"eyes"
2	"BFF"	"CPZ"	3.31796302325581	"Black"	"female"	"fore"
2	"BME"	"CPZ"	3.2731411627907	"Black"	"male"	"eyes"
2	"BMF"	"CPZ"	4.3584023255814	"Black"	"male"	"fore"
2	"WFE"	"CPZ"	1.87588465116279	"White"	"female"	"eyes"
2	"WFF"	"CPZ"	2.3162823255814	"White"	"female"	"fore"
2	"WME"	"CPZ"	2.1363576744186	"White"	"male"	"eyes"
2	"WMF"	"CPZ"	4.18038	"White"	"male"	"fore"
3	"BFE"	"CPZ"	-1.20484604651163	"Black"	"female"	"eyes"
3	"BFF"	"CPZ"	-1.63723465116279	"Black"	"female"	"fore"
3	"BME"	"CPZ"	-2.77448302325581	"Black"	"male"	"eyes"
3	"BMF"	"CPZ"	-1.38343697674419	"Black"	"male"	"fore"
3	"WFE"	"CPZ"	-3.48959418604651	"White"	"female"	"eyes"
3	"WFF"	"CPZ"	-1.33345511627907	"White"	"female"	"fore"
3	"WME"	"CPZ"	-2.42559465116279	"White"	"male"	"eyes"
3	"WMF"	"CPZ"	-1.88149604651163	"White"	"male"	"fore"
5	"BFE"	"CPZ"	2.53128186046512	"Black"	"female"	"eyes"
5	"BFF"	"CPZ"	2.74810372093023	"Black"	"female"	"fore"
