"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
12	"BME"	"CPZ"	5.34235575757576	"Black"	"male"	"eyes"
12	"BMF"	"CPZ"	3.80502212121212	"Black"	"male"	"fore"
12	"WFE"	"CPZ"	5.81218545454545	"White"	"female"	"eyes"
12	"WFF"	"CPZ"	5.2508503030303	"White"	"female"	"fore"
12	"WME"	"CPZ"	5.50390484848485	"White"	"male"	"eyes"
12	"WMF"	"CPZ"	4.35777090909091	"White"	"male"	"fore"
13	"BFE"	"CPZ"	5.34642151515152	"Black"	"female"	"eyes"
13	"BFF"	"CPZ"	6.63485363636364	"Black"	"female"	"fore"
13	"BME"	"CPZ"	4.75304878787879	"Black"	"male"	"eyes"
13	"BMF"	"CPZ"	5.85734090909091	"Black"	"male"	"fore"
13	"WFE"	"CPZ"	2.83452121212121	"White"	"female"	"eyes"
13	"WFF"	"CPZ"	4.71172939393939	"White"	"female"	"fore"
13	"WME"	"CPZ"	4.08939151515152	"White"	"male"	"eyes"
13	"WMF"	"CPZ"	3.91230272727273	"White"	"male"	"fore"
14	"BFE"	"CPZ"	4.21680757575758	"Black"	"female"	"eyes"
14	"BFF"	"CPZ"	3.26886909090909	"Black"	"female"	"fore"
14	"BME"	"CPZ"	3.74038242424242	"Black"	"male"	"eyes"
14	"BMF"	"CPZ"	2.81960666666667	"Black"	"male"	"fore"
14	"WFE"	"CPZ"	1.98264606060606	"White"	"female"	"eyes"
14	"WFF"	"CPZ"	0.848093909090909	"White"	"female"	"fore"
14	"WME"	"CPZ"	3.75024696969697	"White"	"male"	"eyes"
14	"WMF"	"CPZ"	1.55873484848485	"White"	"male"	"fore"
15	"BFE"	"CPZ"	1.65723151515152	"Black"	"female"	"eyes"
15	"BFF"	"CPZ"	0.382205939393939	"Black"	"female"	"fore"
15	"BME"	"CPZ"	4.87722181818182	"Black"	"male"	"eyes"
15	"BMF"	"CPZ"	2.25842212121212	"Black"	"male"	"fore"
