"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
12	"BME"	"CPZ"	6.62432393939394	"Black"	"male"	"eyes"
12	"BMF"	"CPZ"	1.31381666666667	"Black"	"male"	"fore"
12	"WFE"	"CPZ"	3.42065818181818	"White"	"female"	"eyes"
12	"WFF"	"CPZ"	2.51228906060606	"White"	"female"	"fore"
12	"WME"	"CPZ"	3.20770060606061	"White"	"male"	"eyes"
12	"WMF"	"CPZ"	2.35712260606061	"White"	"male"	"fore"
13	"BFE"	"CPZ"	4.13943424242424	"Black"	"female"	"eyes"
13	"BFF"	"CPZ"	4.00338	"Black"	"female"	"fore"
13	"BME"	"CPZ"	3.01241666666667	"Black"	"male"	"eyes"
13	"BMF"	"CPZ"	2.92973454545455	"Black"	"male"	"fore"
13	"WFE"	"CPZ"	4.04209575757576	"White"	"female"	"eyes"
13	"WFF"	"CPZ"	3.63636848484848	"White"	"female"	"fore"
13	"WME"	"CPZ"	-0.0899742060606061	"White"	"male"	"eyes"
13	"WMF"	"CPZ"	4.05654818181818	"White"	"male"	"fore"
14	"BFE"	"CPZ"	3.01698090909091	"Black"	"female"	"eyes"
14	"BFF"	"CPZ"	3.05036060606061	"Black"	"female"	"fore"
14	"BME"	"CPZ"	2.97197212121212	"Black"	"male"	"eyes"
14	"BMF"	"CPZ"	2.37311090909091	"Black"	"male"	"fore"
14	"WFE"	"CPZ"	2.59177748484848	"White"	"female"	"eyes"
14	"WFF"	"CPZ"	1.94894348484848	"White"	"female"	"fore"
14	"WME"	"CPZ"	2.12427475757576	"White"	"male"	"eyes"
14	"WMF"	"CPZ"	0.19316383030303	"White"	"male"	"fore"
16	"BFE"	"CPZ"	-1.85565084848485	"Black"	"female"	"eyes"
16	"BFF"	"CPZ"	-3.58604848484848	"Black"	"female"	"fore"
16	"BME"	"CPZ"	-0.870429363636364	"Black"	"male"	"eyes"
16	"BMF"	"CPZ"	-2.25486872727273	"Black"	"male"	"fore"
16	"WFE"	"CPZ"	-2.45737739393939	"White"	"female"	"eyes"
16	"WFF"	"CPZ"	-3.40961121212121	"White"	"female"	"fore"
16	"WME"	"CPZ"	-2.43989690909091	"White"	"male"	"eyes"
16	"WMF"	"CPZ"	-3.95656484848485	"White"	"male"	"fore"
17	"BFE"	"CPZ"	4.74951787878788	"Black"	"female"	"eyes"
17	"BFF"	"CPZ"	-0.903666636363636	"Black"	"female"	"fore"
17	"BME"	"CPZ"	1.83647342424242	"Black"	"male"	"eyes"
17	"BMF"	"CPZ"	-0.376448393939394	"Black"	"male"	"fore"
17	"WFE"	"CPZ"	1.27261063636364	"White"	"female"	"eyes"
17	"WFF"	"CPZ"	1.33439012121212	"White"	"female"	"fore"
17	"WME"	"CPZ"	-1.13755227272727	"White"	"male"	"eyes"
17	"WMF"	"CPZ"	-0.323633393939394	"White"	"male"	"fore"
20	"BFE"	"CPZ"	4.85153151515151	"Black"	"female"	"eyes"
20	"BFF"	"CPZ"	2.41072954545455	"Black"	"female"	"fore"
20	"BME"	"CPZ"	6.05412848484848	"Black"	"male"	"eyes"
20	"BMF"	"CPZ"	3.35940181818182	"Black"	"male"	"fore"
20	"WFE"	"CPZ"	5.10345787878788	"White"	"female"	"eyes"
20	"WFF"	"CPZ"	3.08921606060606	"White"	"female"	"fore"
20	"WME"	"CPZ"	3.35852393939394	"White"	"male"	"eyes"
20	"WMF"	"CPZ"	4.10120787878788	"White"	"male"	"fore"
21	"BFE"	"CPZ"	0.051445603030303	"Black"	"female"	"eyes"
21	"BFF"	"CPZ"	0.0926063575757576	"Black"	"female"	"fore"
21	"BME"	"CPZ"	1.23773336363636	"Black"	"male"	"eyes"
21	"BMF"	"CPZ"	0.711799666666667	"Black"	"male"	"fore"
21	"WFE"	"CPZ"	-0.246930718181818	"White"	"female"	"eyes"
21	"WFF"	"CPZ"	-0.0247673745454545	"White"	"female"	"fore"
21	"WME"	"CPZ"	0.461792606060606	"White"	"male"	"eyes"
21	"WMF"	"CPZ"	1.03119075757576	"White"	"male"	"fore"
22	"BFE"	"CPZ"	3.17179878787879	"Black"	"female"	"eyes"
22	"BFF"	"CPZ"	2.52683009090909	"Black"	"female"	"fore"
22	"BME"	"CPZ"	5.29923090909091	"Black"	"male"	"eyes"
22	"BMF"	"CPZ"	2.07210475757576	"Black"	"male"	"fore"
22	"WFE"	"CPZ"	3.89272575757576	"White"	"female"	"eyes"
22	"WFF"	"CPZ"	4.00080848484849	"White"	"female"	"fore"
22	"WME"	"CPZ"	4.64673515151515	"White"	"male"	"eyes"
22	"WMF"	"CPZ"	2.56567215151515	"White"	"male"	"fore"
23	"BFE"	"CPZ"	0.339666787878788	"Black"	"female"	"eyes"
23	"BFF"	"CPZ"	0.159524284848485	"Black"	"female"	"fore"
23	"BME"	"CPZ"	0.0119298418181818	"Black"	"male"	"eyes"
23	"BMF"	"CPZ"	1.30933284848485	"Black"	"male"	"fore"
23	"WFE"	"CPZ"	1.61832133333333	"White"	"female"	"eyes"
23	"WFF"	"CPZ"	1.56004009090909	"White"	"female"	"fore"
23	"WME"	"CPZ"	0.437619636363636	"White"	"male"	"eyes"
23	"WMF"	"CPZ"	2.006352	"White"	"male"	"fore"
24	"BFE"	"CPZ"	-0.418958484848485	"Black"	"female"	"eyes"
24	"BFF"	"CPZ"	-0.837122090909091	"Black"	"female"	"fore"
24	"BME"	"CPZ"	2.33991145454545	"Black"	"male"	"eyes"
24	"BMF"	"CPZ"	0.865300909090909	"Black"	"male"	"fore"
24	"WFE"	"CPZ"	1.34408487878788	"White"	"female"	"eyes"
24	"WFF"	"CPZ"	-0.349158060606061	"White"	"female"	"fore"
24	"WME"	"CPZ"	1.67357336363636	"White"	"male"	"eyes"
24	"WMF"	"CPZ"	-0.429433909090909	"White"	"male"	"fore"
25	"BFE"	"CPZ"	-2.44942084848485	"Black"	"female"	"eyes"
25	"BFF"	"CPZ"	-2.32587915151515	"Black"	"female"	"fore"
25	"BME"	"CPZ"	0.390592454545455	"Black"	"male"	"eyes"
25	"BMF"	"CPZ"	-2.81746563636364	"Black"	"male"	"fore"
25	"WFE"	"CPZ"	-0.716190787878788	"White"	"female"	"eyes"
25	"WFF"	"CPZ"	-0.0986236242424242	"White"	"female"	"fore"
25	"WME"	"CPZ"	-2.54147215151515	"White"	"male"	"eyes"
25	"WMF"	"CPZ"	-0.910783818181818	"White"	"male"	"fore"
26	"BFE"	"CPZ"	1.64881733333333	"Black"	"female"	"eyes"
26	"BFF"	"CPZ"	0.328784727272727	"Black"	"female"	"fore"
26	"BME"	"CPZ"	3.66784757575758	"Black"	"male"	"eyes"
26	"BMF"	"CPZ"	2.13384027272727	"Black"	"male"	"fore"
26	"WFE"	"CPZ"	3.14327818181818	"White"	"female"	"eyes"
26	"WFF"	"CPZ"	-0.148659466666667	"White"	"female"	"fore"
26	"WME"	"CPZ"	1.79503651515152	"White"	"male"	"eyes"
26	"WMF"	"CPZ"	2.04016178787879	"White"	"male"	"fore"
27	"BFE"	"CPZ"	1.24136475757576	"Black"	"female"	"eyes"
