"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
1	"BFE"	"POZ"	1.24715129032258	"Black"	"female"	"eyes"
1	"BFF"	"POZ"	0.945334838709677	"Black"	"female"	"fore"
1	"BME"	"POZ"	-1.3417364516129	"Black"	"male"	"eyes"
1	"BMF"	"POZ"	0.922849677419355	"Black"	"male"	"fore"
1	"WFE"	"POZ"	-0.349488419354839	"White"	"female"	"eyes"
1	"WFF"	"POZ"	0.684799032258064	"White"	"female"	"fore"
1	"WME"	"POZ"	0.0691016129032258	"White"	"male"	"eyes"
1	"WMF"	"POZ"	1.74026548387097	"White"	"male"	"fore"
2	"BFE"	"POZ"	-2.48126612903226	"Black"	"female"	"eyes"
2	"BFF"	"POZ"	-2.73410580645161	"Black"	"female"	"fore"
2	"BME"	"POZ"	-2.83877322580645	"Black"	"male"	"eyes"
2	"BMF"	"POZ"	-0.871552903225806	"Black"	"male"	"fore"
2	"WFE"	"POZ"	-1.52775032258065	"White"	"female"	"eyes"
2	"WFF"	"POZ"	-0.186923677419355	"White"	"female"	"fore"
2	"WME"	"POZ"	-3.86475838709677	"White"	"male"	"eyes"
2	"WMF"	"POZ"	-1.56106	"White"	"male"	"fore"
3	"BFE"	"POZ"	0.249826903225806	"Black"	"female"	"eyes"
3	"BFF"	"POZ"	0.0196704451612903	"Black"	"female"	"fore"
3	"BME"	"POZ"	-1.44188096774194	"Black"	"male"	"eyes"
3	"BMF"	"POZ"	0.279466322580645	"Black"	"male"	"fore"
3	"WFE"	"POZ"	-0.083703064516129	"White"	"female"	"eyes"
3	"WFF"	"POZ"	-1.00255419354839	"White"	"female"	"fore"
3	"WME"	"POZ"	0.612608709677419	"White"	"male"	"eyes"
3	"WMF"	"POZ"	0.564859032258065	"White"	"male"	"fore"
5	"BFE"	"POZ"	0.178166677419355	"Black"	"female"	"eyes"
5	"BFF"	"POZ"	-0.740062258064516	"Black"	"female"	"fore"
5	"BME"	"POZ"	3.22141580645161	"Black"	"male"	"eyes"
5	"BMF"	"POZ"	2.22106935483871	"Black"	"male"	"fore"
5	"WFE"	"POZ"	-1.11781967741935	"White"	"female"	"eyes"
