"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"	"Task"
1	"GBFE"	"CPZ"	0.722656666666667	"Black"	"female"	"eyes"	"Gender"
1	"GBFF"	"CPZ"	-0.0927398090909091	"Black"	"female"	"fore"	"Gender"
1	"GBME"	"CPZ"	1.67170909090909	"Black"	"male"	"eyes"	"Gender"
1	"GBMF"	"CPZ"	0.365428272727273	"Black"	"male"	"fore"	"Gender"
1	"GWFE"	"CPZ"	-0.65157203030303	"White"	"female"	"eyes"	"Gender"
1	"GWFF"	"CPZ"	1.71356242424242	"White"	"female"	"fore"	"Gender"
1	"GWME"	"CPZ"	-0.246981515151515	"White"	"male"	"eyes"	"Gender"
1	"GWMF"	"CPZ"	0.881870757575758	"White"	"male"	"fore"	"Gender"
1	"RBFE"	"CPZ"	-0.518965575757576	"Black"	"female"	"eyes"	"Race"
1	"RBFF"	"CPZ"	-0.555238181818182	"Black"	"female"	"fore"	"Race"
1	"RBME"	"CPZ"	2.38739939393939	"Black"	"male"	"eyes"	"Race"
1	"RBMF"	"CPZ"	2.6942903030303	"Black"	"male"	"fore"	"Race"
1	"RWFE"	"CPZ"	1.28416939393939	"White"	"female"	"eyes"	"Race"
1	"RWFF"	"CPZ"	0.878633606060606	"White"	"female"	"fore"	"Race"
1	"RWME"	"CPZ"	-0.533852272727273	"White"	"male"	"eyes"	"Race"
1	"RWMF"	"CPZ"	-0.600176242424242	"White"	"male"	"fore"	"Race"
2	"GBFE"	"CPZ"	2.97416151515152	"Black"	"female"	"eyes"	"Gender"
2	"GBFF"	"CPZ"	3.04754151515152	"Black"	"female"	"fore"	"Gender"
2	"GBME"	"CPZ"	4.60542636363636	"Black"	"male"	"eyes"	"Gender"
2	"GBMF"	"CPZ"	5.05486909090909	"Black"	"male"	"fore"	"Gender"
2	"GWFE"	"CPZ"	5.10559696969697	"White"	"female"	"eyes"	"Gender"
2	"GWFF"	"CPZ"	4.20267636363636	"White"	"female"	"fore"	"Gender"
2	"GWME"	"CPZ"	1.61345848484848	"White"	"male"	"eyes"	"Gender"
2	"GWMF"	"CPZ"	3.57193696969697	"White"	"male"	"fore"	"Gender"
2	"RBFE"	"CPZ"	3.72854636363636	"Black"	"female"	"eyes"	"Race"
2	"RBFF"	"CPZ"	2.59859727272727	"Black"	"female"	"fore"	"Race"
2	"RBME"	"CPZ"	3.50931606060606	"Black"	"male"	"eyes"	"Race"
2	"RBMF"	"CPZ"	2.17490090909091	"Black"	"male"	"fore"	"Race"
2	"RWFE"	"CPZ"	2.32552242424242	"White"	"female"	"eyes"	"Race"
2	"RWFF"	"CPZ"	4.32169666666667	"White"	"female"	"fore"	"Race"
2	"RWME"	"CPZ"	2.72392484848485	"White"	"male"	"eyes"	"Race"
2	"RWMF"	"CPZ"	3.51589666666667	"White"	"male"	"fore"	"Race"
3	"GBFE"	"CPZ"	4.52083909090909	"Black"	"female"	"eyes"	"Gender"
3	"GBFF"	"CPZ"	2.09900181818182	"Black"	"female"	"fore"	"Gender"
3	"GBME"	"CPZ"	3.96050121212121	"Black"	"male"	"eyes"	"Gender"
3	"GBMF"	"CPZ"	2.86181060606061	"Black"	"male"	"fore"	"Gender"
3	"GWFE"	"CPZ"	3.04397121212121	"White"	"female"	"eyes"	"Gender"
3	"GWFF"	"CPZ"	2.26719181818182	"White"	"female"	"fore"	"Gender"
3	"GWME"	"CPZ"	3.37753606060606	"White"	"male"	"eyes"	"Gender"
3	"GWMF"	"CPZ"	2.3389196969697	"White"	"male"	"fore"	"Gender"
3	"RBFE"	"CPZ"	3.65027545454545	"Black"	"female"	"eyes"	"Race"
3	"RBFF"	"CPZ"	3.9961203030303	"Black"	"female"	"fore"	"Race"
3	"RBME"	"CPZ"	5.77438484848485	"Black"	"male"	"eyes"	"Race"
3	"RBMF"	"CPZ"	2.47142333333333	"Black"	"male"	"fore"	"Race"
3	"RWFE"	"CPZ"	5.02563636363636	"White"	"female"	"eyes"	"Race"
3	"RWFF"	"CPZ"	2.03869060606061	"White"	"female"	"fore"	"Race"
3	"RWME"	"CPZ"	4.4689303030303	"White"	"male"	"eyes"	"Race"
3	"RWMF"	"CPZ"	3.37356	"White"	"male"	"fore"	"Race"
5	"GBFE"	"CPZ"	0.587587393939394	"Black"	"female"	"eyes"	"Gender"
5	"GBFF"	"CPZ"	2.23518	"Black"	"female"	"fore"	"Gender"
5	"GBME"	"CPZ"	2.41775848484848	"Black"	"male"	"eyes"	"Gender"
5	"GBMF"	"CPZ"	2.88756303030303	"Black"	"male"	"fore"	"Gender"
5	"GWFE"	"CPZ"	1.26093942424242	"White"	"female"	"eyes"	"Gender"
5	"GWFF"	"CPZ"	1.39131415151515	"White"	"female"	"fore"	"Gender"
5	"GWME"	"CPZ"	1.70240787878788	"White"	"male"	"eyes"	"Gender"
5	"GWMF"	"CPZ"	3.33898848484848	"White"	"male"	"fore"	"Gender"
5	"RBFE"	"CPZ"	0.435803484848485	"Black"	"female"	"eyes"	"Race"
5	"RBFF"	"CPZ"	2.02397848484848	"Black"	"female"	"fore"	"Race"
5	"RBME"	"CPZ"	1.97119333333333	"Black"	"male"	"eyes"	"Race"
5	"RBMF"	"CPZ"	1.26170860606061	"Black"	"male"	"fore"	"Race"
5	"RWFE"	"CPZ"	0.237537909090909	"White"	"female"	"eyes"	"Race"
5	"RWFF"	"CPZ"	-0.224135484848485	"White"	"female"	"fore"	"Race"
5	"RWME"	"CPZ"	2.03503454545455	"White"	"male"	"eyes"	"Race"
5	"RWMF"	"CPZ"	3.4096496969697	"White"	"male"	"fore"	"Race"
7	"GBFE"	"CPZ"	1.20051121212121	"Black"	"female"	"eyes"	"Gender"
7	"GBFF"	"CPZ"	0.793721272727273	"Black"	"female"	"fore"	"Gender"
7	"GBME"	"CPZ"	2.03028363636364	"Black"	"male"	"eyes"	"Gender"
7	"GBMF"	"CPZ"	0.901210393939394	"Black"	"male"	"fore"	"Gender"
7	"GWFE"	"CPZ"	-0.640750393939394	"White"	"female"	"eyes"	"Gender"
7	"GWFF"	"CPZ"	-0.121600942424242	"White"	"female"	"fore"	"Gender"
7	"GWME"	"CPZ"	1.16273327272727	"White"	"male"	"eyes"	"Gender"
7	"GWMF"	"CPZ"	-0.623557151515151	"White"	"male"	"fore"	"Gender"
7	"RBFE"	"CPZ"	1.04967784848485	"Black"	"female"	"eyes"	"Race"
7	"RBFF"	"CPZ"	-0.103606427272727	"Black"	"female"	"fore"	"Race"
7	"RBME"	"CPZ"	0.0328452181818182	"Black"	"male"	"eyes"	"Race"
7	"RBMF"	"CPZ"	-2.52762515151515	"Black"	"male"	"fore"	"Race"
7	"RWFE"	"CPZ"	2.48453727272727	"White"	"female"	"eyes"	"Race"
7	"RWFF"	"CPZ"	-0.206133272727273	"White"	"female"	"fore"	"Race"
7	"RWME"	"CPZ"	-0.502152242424242	"White"	"male"	"eyes"	"Race"
7	"RWMF"	"CPZ"	1.41274727272727	"White"	"male"	"fore"	"Race"
8	"GBFE"	"CPZ"	1.10038796969697	"Black"	"female"	"eyes"	"Gender"
8	"GBFF"	"CPZ"	1.3284423030303	"Black"	"female"	"fore"	"Gender"
8	"GBME"	"CPZ"	2.06396909090909	"Black"	"male"	"eyes"	"Gender"
8	"GBMF"	"CPZ"	0.869051575757576	"Black"	"male"	"fore"	"Gender"
8	"GWFE"	"CPZ"	0.242451575757576	"White"	"female"	"eyes"	"Gender"
8	"GWFF"	"CPZ"	-0.992636484848485	"White"	"female"	"fore"	"Gender"
8	"GWME"	"CPZ"	-0.239583181818182	"White"	"male"	"eyes"	"Gender"
8	"GWMF"	"CPZ"	1.30432318181818	"White"	"male"	"fore"	"Gender"
8	"RBFE"	"CPZ"	-0.275378606060606	"Black"	"female"	"eyes"	"Race"
8	"RBFF"	"CPZ"	0.999678636363636	"Black"	"female"	"fore"	"Race"
8	"RBME"	"CPZ"	1.12279254545455	"Black"	"male"	"eyes"	"Race"
8	"RBMF"	"CPZ"	0.0173060696969697	"Black"	"male"	"fore"	"Race"
8	"RWFE"	"CPZ"	1.64934939393939	"White"	"female"	"eyes"	"Race"
8	"RWFF"	"CPZ"	-0.143598878787879	"White"	"female"	"fore"	"Race"
8	"RWME"	"CPZ"	-1.143209	"White"	"male"	"eyes"	"Race"
8	"RWMF"	"CPZ"	0.740001484848485	"White"	"male"	"fore"	"Race"
9	"GBFE"	"CPZ"	7.99789242424242	"Black"	"female"	"eyes"	"Gender"
9	"GBFF"	"CPZ"	2.39530909090909	"Black"	"female"	"fore"	"Gender"
9	"GBME"	"CPZ"	4.60598787878788	"Black"	"male"	"eyes"	"Gender"
9	"GBMF"	"CPZ"	5.92884909090909	"Black"	"male"	"fore"	"Gender"
9	"GWFE"	"CPZ"	6.63685272727273	"White"	"female"	"eyes"	"Gender"
9	"GWFF"	"CPZ"	0.273561727272727	"White"	"female"	"fore"	"Gender"
9	"GWME"	"CPZ"	6.67741	"White"	"male"	"eyes"	"Gender"
9	"GWMF"	"CPZ"	3.40503545454545	"White"	"male"	"fore"	"Gender"
9	"RBFE"	"CPZ"	0.32863196969697	"Black"	"female"	"eyes"	"Race"
9	"RBFF"	"CPZ"	-1.21782960606061	"Black"	"female"	"fore"	"Race"
9	"RBME"	"CPZ"	1.81274575757576	"Black"	"male"	"eyes"	"Race"
9	"RBMF"	"CPZ"	2.20264090909091	"Black"	"male"	"fore"	"Race"
9	"RWFE"	"CPZ"	4.95368393939394	"White"	"female"	"eyes"	"Race"
9	"RWFF"	"CPZ"	-2.06473909090909	"White"	"female"	"fore"	"Race"
9	"RWME"	"CPZ"	-1.7938596969697	"White"	"male"	"eyes"	"Race"
9	"RWMF"	"CPZ"	0.450650848484848	"White"	"male"	"fore"	"Race"
10	"GBFE"	"CPZ"	1.54357454545455	"Black"	"female"	"eyes"	"Gender"
10	"GBFF"	"CPZ"	1.39632290909091	"Black"	"female"	"fore"	"Gender"
10	"GBME"	"CPZ"	1.40196151515152	"Black"	"male"	"eyes"	"Gender"
10	"GBMF"	"CPZ"	1.63884393939394	"Black"	"male"	"fore"	"Gender"
10	"GWFE"	"CPZ"	1.32618327272727	"White"	"female"	"eyes"	"Gender"
10	"GWFF"	"CPZ"	0.44364303030303	"White"	"female"	"fore"	"Gender"
10	"GWME"	"CPZ"	1.75839333333333	"White"	"male"	"eyes"	"Gender"
10	"GWMF"	"CPZ"	1.02021866666667	"White"	"male"	"fore"	"Gender"
10	"RBFE"	"CPZ"	1.30917251515152	"Black"	"female"	"eyes"	"Race"
10	"RBFF"	"CPZ"	1.3163923030303	"Black"	"female"	"fore"	"Race"
10	"RBME"	"CPZ"	1.76690696969697	"Black"	"male"	"eyes"	"Race"
10	"RBMF"	"CPZ"	-0.385248696969697	"Black"	"male"	"fore"	"Race"
10	"RWFE"	"CPZ"	2.92742545454545	"White"	"female"	"eyes"	"Race"
10	"RWFF"	"CPZ"	-0.25583203030303	"White"	"female"	"fore"	"Race"
10	"RWME"	"CPZ"	1.36945281818182	"White"	"male"	"eyes"	"Race"
10	"RWMF"	"CPZ"	0.0256853515151515	"White"	"male"	"fore"	"Race"
11	"GBFE"	"CPZ"	-1.75761545454545	"Black"	"female"	"eyes"	"Gender"
11	"GBFF"	"CPZ"	-2.29719606060606	"Black"	"female"	"fore"	"Gender"
