"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"	"Task"
1	"GBFE"	"CZ"	3.91096186046512	"Black"	"female"	"eyes"	"Gender"
1	"GBFF"	"CZ"	-1.86273311627907	"Black"	"female"	"fore"	"Gender"
1	"GBME"	"CZ"	-1.75875688372093	"Black"	"male"	"eyes"	"Gender"
1	"GBMF"	"CZ"	1.03345762790698	"Black"	"male"	"fore"	"Gender"
1	"GWFE"	"CZ"	-0.809709348837209	"White"	"female"	"eyes"	"Gender"
1	"GWFF"	"CZ"	0.142536406976744	"White"	"female"	"fore"	"Gender"
1	"GWME"	"CZ"	-1.14422834883721	"White"	"male"	"eyes"	"Gender"
1	"GWMF"	"CZ"	-1.73449653488372	"White"	"male"	"fore"	"Gender"
1	"RBFE"	"CZ"	-0.0514482069767442	"Black"	"female"	"eyes"	"Race"
1	"RBFF"	"CZ"	1.60128876744186	"Black"	"female"	"fore"	"Race"
1	"RBME"	"CZ"	-1.54630823255814	"Black"	"male"	"eyes"	"Race"
1	"RBMF"	"CZ"	-0.560968046511628	"Black"	"male"	"fore"	"Race"
1	"RWFE"	"CZ"	-0.253067465116279	"White"	"female"	"eyes"	"Race"
1	"RWFF"	"CZ"	0.107290386046512	"White"	"female"	"fore"	"Race"
1	"RWME"	"CZ"	-2.96558023255814	"White"	"male"	"eyes"	"Race"
1	"RWMF"	"CZ"	0.0405414813953488	"White"	"male"	"fore"	"Race"
2	"GBFE"	"CZ"	3.6480176744186	"Black"	"female"	"eyes"	"Gender"
2	"GBFF"	"CZ"	3.62292558139535	"Black"	"female"	"fore"	"Gender"
2	"GBME"	"CZ"	3.91055744186046	"Black"	"male"	"eyes"	"Gender"
2	"GBMF"	"CZ"	4.95379046511628	"Black"	"male"	"fore"	"Gender"
2	"GWFE"	"CZ"	2.60160860465116	"White"	"female"	"eyes"	"Gender"
2	"GWFF"	"CZ"	2.80707162790698	"White"	"female"	"fore"	"Gender"
2	"GWME"	"CZ"	2.46224069767442	"White"	"male"	"eyes"	"Gender"
2	"GWMF"	"CZ"	4.94160395348837	"White"	"male"	"fore"	"Gender"
2	"RBFE"	"CZ"	2.4864923255814	"Black"	"female"	"eyes"	"Race"
2	"RBFF"	"CZ"	2.8584688372093	"Black"	"female"	"fore"	"Race"
2	"RBME"	"CZ"	0.980795790697674	"Black"	"male"	"eyes"	"Race"
2	"RBMF"	"CZ"	1.36838820930233	"Black"	"male"	"fore"	"Race"
2	"RWFE"	"CZ"	2.78636	"White"	"female"	"eyes"	"Race"
2	"RWFF"	"CZ"	3.77505697674419	"White"	"female"	"fore"	"Race"
2	"RWME"	"CZ"	3.70910325581395	"White"	"male"	"eyes"	"Race"
2	"RWMF"	"CZ"	2.62753627906977	"White"	"male"	"fore"	"Race"
3	"GBFE"	"CZ"	-0.244488581395349	"Black"	"female"	"eyes"	"Gender"
3	"GBFF"	"CZ"	-0.555060209302326	"Black"	"female"	"fore"	"Gender"
3	"GBME"	"CZ"	-1.88793569767442	"Black"	"male"	"eyes"	"Gender"
3	"GBMF"	"CZ"	-0.301676930232558	"Black"	"male"	"fore"	"Gender"
3	"GWFE"	"CZ"	-2.36114279069767	"White"	"female"	"eyes"	"Gender"
3	"GWFF"	"CZ"	-0.48447176744186	"White"	"female"	"fore"	"Gender"
3	"GWME"	"CZ"	-1.3661006744186	"White"	"male"	"eyes"	"Gender"
3	"GWMF"	"CZ"	-0.903166279069767	"White"	"male"	"fore"	"Gender"
3	"RBFE"	"CZ"	-0.664397186046512	"Black"	"female"	"eyes"	"Race"
3	"RBFF"	"CZ"	0.549518069767442	"Black"	"female"	"fore"	"Race"
3	"RBME"	"CZ"	1.75512676744186	"Black"	"male"	"eyes"	"Race"
3	"RBMF"	"CZ"	0.859267	"Black"	"male"	"fore"	"Race"
3	"RWFE"	"CZ"	0.406105860465116	"White"	"female"	"eyes"	"Race"
3	"RWFF"	"CZ"	0.508158093023256	"White"	"female"	"fore"	"Race"
3	"RWME"	"CZ"	1.56830255813953	"White"	"male"	"eyes"	"Race"
3	"RWMF"	"CZ"	0.35098476744186	"White"	"male"	"fore"	"Race"
5	"GBFE"	"CZ"	3.50003325581395	"Black"	"female"	"eyes"	"Gender"
5	"GBFF"	"CZ"	2.95598069767442	"Black"	"female"	"fore"	"Gender"
5	"GBME"	"CZ"	4.83699930232558	"Black"	"male"	"eyes"	"Gender"
5	"GBMF"	"CZ"	3.99009790697674	"Black"	"male"	"fore"	"Gender"
5	"GWFE"	"CZ"	3.83611906976744	"White"	"female"	"eyes"	"Gender"
5	"GWFF"	"CZ"	3.11163813953488	"White"	"female"	"fore"	"Gender"
5	"GWME"	"CZ"	2.65187813953488	"White"	"male"	"eyes"	"Gender"
5	"GWMF"	"CZ"	1.58447820930233	"White"	"male"	"fore"	"Gender"
5	"RBFE"	"CZ"	3.13428441860465	"Black"	"female"	"eyes"	"Race"
5	"RBFF"	"CZ"	2.49379162790698	"Black"	"female"	"fore"	"Race"
5	"RBME"	"CZ"	3.35291511627907	"Black"	"male"	"eyes"	"Race"
5	"RBMF"	"CZ"	3.00439139534884	"Black"	"male"	"fore"	"Race"
5	"RWFE"	"CZ"	2.37516209302326	"White"	"female"	"eyes"	"Race"
5	"RWFF"	"CZ"	0.975073581395349	"White"	"female"	"fore"	"Race"
5	"RWME"	"CZ"	2.16576302325581	"White"	"male"	"eyes"	"Race"
5	"RWMF"	"CZ"	2.60158255813953	"White"	"male"	"fore"	"Race"
7	"GBFE"	"CZ"	-2.56146348837209	"Black"	"female"	"eyes"	"Gender"
7	"GBFF"	"CZ"	-0.760467930232558	"Black"	"female"	"fore"	"Gender"
